medianame	source_url	domain	country	bias	factual
Edmonton Journal	https://edmontonjournal.com	edmontonjournal.com	Canada	rightcenter	high
Southern Patriot News	https://www.southernpatriotnews.com	www.southernpatriotnews.com	USA	right	mostly factual
Christian News Alerts	https://www.christiannewsalerts.com	www.christiannewsalerts.com	USA	right	mixed
Washington's Top News (WTOP)	https://wtop.com	wtop.com	USA	center	high
My Right American	https://myrightamerica.com	myrightamerica.com	Unknown	extremeright	questionable source
Iowa Starting Line	https://iowastartingline.com	iowastartingline.com	USA	left	high
Federalist Society	https://fedsoc.org/	fedsoc.org	USA	right	mixed
LA Weekly	https://www.laweekly.com/	www.laweekly.com	USA	left	mixed
Waco Tribune-Herald	https://www.wacotrib.com	www.wacotrib.com	USA	center	high
Institute for Women's Policy Research (IWPR)	https://iwpr.org	iwpr.org	None	center	high
2ndVote	https://2ndvote.com/	2ndvote.com	USA	right	mixed
OneIndia	https://www.oneindia.com/	www.oneindia.com	None	leftcenter	mixed
Task and Purpose	https://taskandpurpose.com/	taskandpurpose.com	USA	center	high
MakeUseOf	https://www.makeuseof.com/	www.makeuseof.com	USA	center	high
The Courier-Journal	http://www.courier-journal.com/	www.courier-journal.com	None	leftcenter	high
The Union Journal	https://theunionjournal.com/	theunionjournal.com	Unknown	None	low
Truth in Media	http://truthinmedia.com/	truthinmedia.com	None	extremeright	None
The Korea Times	http://www.koreatimes.co.kr	www.koreatimes.co.kr	None	leftcenter	mixed
Post-Bulletin	http://www.postbulletin.com/	www.postbulletin.com	USA	rightcenter	high
Vocativ	http://www.vocativ.com/	www.vocativ.com	None	center	high
Times of San Diego	http://timesofsandiego.com/	timesofsandiego.com	None	center	high
Tribunist	https://tribunist.com	tribunist.com	USA	right	mostly factual
New Zealand Herald	http://www.nzherald.co.nz	www.nzherald.co.nz	New Zealand	center	high
Quad City Times	http://qctimes.com/	qctimes.com	USA	center	high
Union of Concerned Scientists	https://www.ucsusa.org	www.ucsusa.org	USA	leftcenter	high
Canadaland	http://www.canadalandshow.com	www.canadalandshow.com	None	leftcenter	high
Inside Edition	https://www.insideedition.com	www.insideedition.com	USA	leftcenter	high
Deccan Herald	http://www.deccanherald.com/	www.deccanherald.com	None	leftcenter	mixed
Standpoint Magazine	http://www.standpointmag.co.uk	www.standpointmag.co.uk	United Kingdom	right	mixed
Red State Watcher	http://redstatewatcher.com/	redstatewatcher.com	Unknown	extremeright	None
Commentary Magazine	https://www.commentarymagazine.com/	www.commentarymagazine.com	USA	right	mostly factual
Haaretz	https://www.haaretz.com/	www.haaretz.com	Israel	left	high
Thomson Reuters Foundation	http://news.trust.org/	news.trust.org	None	leftcenter	high
Concord Monitor	https://www.concordmonitor.com	www.concordmonitor.com	USA	center	high
NDTV	https://www.ndtv.com/	www.ndtv.com	India	leftcenter	mixed
NRA - Institute for Legislative Action	https://www.nraila.org	www.nraila.org	USA	right	mixed
Project Censored	http://projectcensored.org/	projectcensored.org	None	left	high
Aeon	https://aeon.co/	aeon.co	None	leftcenter	high
Chinook Observer	https://www.chinookobserver.com	www.chinookobserver.com	USA	center	high
10News.one	https://www.10news.one/	www.10news.one	USA	extremeright	low
UsLibertyWire.club	https://www.uslibertywire.club	www.uslibertywire.club	Pakistan	extremeright	None
Netherlands Radio and Television Association (NOS)	https://nos.nl	nos.nl	Netherlands	rightcenter	high
Buzzsaw Politics	https://buzzsawpolitics.com/	buzzsawpolitics.com	USA	right	mostly factual
The Diplomat Magazine	https://thediplomat.com	thediplomat.com	Japan	center	high
Odessa American	http://www.oaoa.com	www.oaoa.com	USA	rightcenter	high
America Magazine	https://www.americamagazine.org/	www.americamagazine.org	USA	leftcenter	high
Green Bay Press-Gazette	https://www.greenbaypressgazette.com	www.greenbaypressgazette.com	USA	center	high
NK News	https://www.nknews.org	www.nknews.org	None	center	high
NHK World	https://www3.nhk.or.jp/nhkworld/	www3.nhk.or.jp	None	center	high
Polygraph.info	http://www.polygraph.info/	www.polygraph.info	None	center	very high
Liberty Headlines	http://www.libertyheadlines.com/	www.libertyheadlines.com	None	right	mixed
South Bend Tribune	None	None	USA	center	high
Sunlight Foundation	https://sunlightfoundation.com/	sunlightfoundation.com	USA	leftcenter	high
TheBreakingNews	http://thebreakingnews.today	thebreakingnews.today	None	extremeright	questionable source
Red People	http://www.redpeople.us/	www.redpeople.us	Macedonia	extremeright	questionable source
MagaPill	http://www.magapill.com	www.magapill.com	USA	right	mixed
The Daily Vox	https://www.thedailyvox.co.za/	www.thedailyvox.co.za	South Africa	left	high
Entertainment Weekly	https://ew.com	ew.com	USA	leftcenter	high
Capital Gazette	https://www.capitalgazette.com/	www.capitalgazette.com	USA	leftcenter	high
Everyday Feminism	http://everydayfeminism.com/	everydayfeminism.com	None	left	high
The Augusta Chronicle	http://chronicle.augusta.com/	chronicle.augusta.com	None	rightcenter	high
Tampa Bay Times	https://www.tampabay.com	www.tampabay.com	USA	leftcenter	high
IMOwired	http://imowired.com/	imowired.com	None	extremeright	questionable source
Washington Free Beacon	https://freebeacon.com/	freebeacon.com	USA	right	mixed
DifferenceBetween.net	http://www.differencebetween.net	www.differencebetween.net	USA	center	very high
Capitol Fax	https://capitolfax.com	capitolfax.com	USA	center	high
American Bridge 21st Century	https://americanbridgepac.org/	americanbridgepac.org	USA	left	mixed
Global Risk Insights (GRI)	http://globalriskinsights.com	globalriskinsights.com	None	leftcenter	high
Herald & Review (Illinois)	https://herald-review.com	herald-review.com	USA	center	high
Sacramento Bee	https://www.sacbee.com	www.sacbee.com	USA	leftcenter	high
Political Mayhem News	https://politicalmayhem.news	politicalmayhem.news	None	extremeright	questionable source
The Patriot-News	http://www.pennlive.com/	www.pennlive.com	None	leftcenter	high
The Lily	https://www.thelily.com/	www.thelily.com	USA	left	high
Aleteia	https://aleteia.org	aleteia.org	France	rightcenter	mixed
Cook Political Report	https://cookpolitical.com/	cookpolitical.com	None	center	high
Albany Democrat Herald	https://democratherald.com/	democratherald.com	USA	center	high
Progressive Liberal	https://www.progressiveliberal.net	www.progressiveliberal.net	None	left	mixed
It's Going Down	https://itsgoingdown.org/	itsgoingdown.org	USA	left	mixed
AV Club	https://www.avclub.com/	www.avclub.com	USA	leftcenter	high
Globe Magazine	http://www.globemagazine.com/	www.globemagazine.com	None	None	very low
Feminist Frequency	https://feministfrequency.com/	feministfrequency.com	None	leftcenter	high
The News International	https://www.thenews.com.pk/	www.thenews.com.pk	None	center	high
The American Mind	https://americanmind.org	americanmind.org	USA	right	mixed
BusinessLIVE	https://www.businesslive.co.za	www.businesslive.co.za	South Africa	rightcenter	mixed
Facts Wanted	https://factswanted.com	factswanted.com	Belize	rightcenter	mixed
Real Clear Defense	http://www.realcleardefense.com/	www.realcleardefense.com	None	rightcenter	high
Secure America Now	http://www.secureamericanow.org/	www.secureamericanow.org	None	right	mixed
Public Religion Research Institute (PRRI)	http://www.prri.org/	www.prri.org	USA	center	very high
Novinite	http://www.novinite.com/	www.novinite.com	None	center	high
The Australian	https://www.theaustralian.com.au/	www.theaustralian.com.au	Australia	rightcenter	high
Best Daily News	http://bestdailynews.info/	bestdailynews.info	Macedonia	extremeright	low
Every CRS Report	https://www.everycrsreport.com/	www.everycrsreport.com	None	center	very high
12 News (KPNX)	https://www.12news.com/	www.12news.com	USA	center	high
US Liberty Wire	https://uslibertywire.com/	uslibertywire.com	Unknown	extremeright	None
Patriot Update	http://patriotupdate.com/	patriotupdate.com	None	extremeright	questionable source
ABC News	https://abcnews.go.com	abcnews.go.com	USA	leftcenter	high
Greentech Media	https://www.greentechmedia.com/	www.greentechmedia.com	None	leftcenter	high
Agenzia Nazionale Stampa Associata (ANSA)	http://www.ansa.it	www.ansa.it	Italy	center	high
Oregonian	https://www.oregonlive.com	www.oregonlive.com	USA	rightcenter	high
Cosmopolitan	https://www.cosmopolitan.com/	www.cosmopolitan.com	None	left	mostly factual
News and Guts	https://www.newsandguts.com/	www.newsandguts.com	USA	leftcenter	mostly factual
Democracy Now	https://www.democracynow.org/	www.democracynow.org	USA	left	high
FactCheck.org	https://www.factcheck.org/	www.factcheck.org	USA	center	very high
Tablet Magazine	https://www.tabletmag.com/	www.tabletmag.com	USA	leftcenter	high
Committee to Protect Journalists	https://www.cpj.org/	www.cpj.org	None	center	very high
NewsLogue	http://www.newslogue.com/	www.newslogue.com	None	left	mixed
Propublica	https://www.propublica.org/	www.propublica.org	USA	leftcenter	high
Explain Life	https://explainlife.com	explainlife.com	Unknown	extremeright	low
Just Facts	https://www.justfacts.com/	www.justfacts.com	USA	rightcenter	mostly factual
Media Zone	http://www.mediazone.news/	www.mediazone.news	None	extremeright	questionable source
Center for Democracy and Technology	https://cdt.org	cdt.org	None	center	high
Africa News	http://www.africanews.com/	www.africanews.com	None	center	high
The Gazette (Cedar Rapids)	http://www.thegazette.com/	www.thegazette.com	USA	rightcenter	high
Detroit Metro Times	https://www.metrotimes.com	www.metrotimes.com	USA	left	high
Your Black World	http://yourblackworld.net	yourblackworld.net	USA	left	mixed
Denver Post	https://www.denverpost.com/	www.denverpost.com	USA	leftcenter	high
38 North	https://www.38north.org	www.38north.org	USA	center	high
New York Post	https://nypost.com/	nypost.com	USA	rightcenter	mixed
People for the American Way (PFAW)	http://www.pfaw.org	www.pfaw.org	None	left	high
Government Executive	https://www.govexec.com/	www.govexec.com	USA	leftcenter	high
Bangor Daily News	https://bangordailynews.com/	bangordailynews.com	USA	leftcenter	high
Global Citizen	https://www.globalcitizen.org/en/	www.globalcitizen.org	USA	leftcenter	high
New Yorker	https://www.newyorker.com/	www.newyorker.com	USA	left	high
Deplorable Kel	https://deplorablekel.com	deplorablekel.com	USA	extremeright	low
Missoulian	http://missoulian.com/	missoulian.com	USA	center	high
New Statesman	https://www.newstatesman.com	www.newstatesman.com	United Kingdom	left	high
Bipartisan Report	https://bipartisanreport.com	bipartisanreport.com	USA	extremeleft	mixed
ScoopWhoop	https://www.scoopwhoop.com	www.scoopwhoop.com	None	leftcenter	mixed
Chicago Sun-Times	https://chicago.suntimes.com/	chicago.suntimes.com	USA	leftcenter	high
El Paso Times	http://www.elpasotimes.com/	www.elpasotimes.com	None	leftcenter	high
Santa Maria Times	http://santamariatimes.com	santamariatimes.com	USA	center	high
International Organization	International Organization		None	center	very high
KOCO News 5	http://www.koco.com/	www.koco.com	None	leftcenter	high
TeleSUR	http://www.telesurtv.net/english/	www.telesurtv.net	None	left	mixed
The National (UAE)	http://www.thenational.ae/	www.thenational.ae	None	rightcenter	high
The American Interest	http://www.the-american-interest.com/	www.the-american-interest.com	None	rightcenter	high
Good Magazine	https://www.good.is/	www.good.is	None	left	high
Wired Magazine	https://www.wired.com/	www.wired.com	USA	leftcenter	high
ConservativeOpinion.com	https://conservativeopinion.com/	conservativeopinion.com	USA	right	mixed
Harvard Business Review	https://hbr.org	hbr.org	USA	center	high
Global Integrity	https://www.globalintegrity.org/	www.globalintegrity.org	USA	center	high
Breaking News House	https://breakingnewshouse.com/	breakingnewshouse.com	Unknown	extremeright	low
New York Magazine	http://nymag.com/	nymag.com	USA	left	high
Progress Tribune	http://progresstribune.com/	progresstribune.com	None	extremeleft	questionable source
Bluestem Prairie	http://www.bluestemprairie.com/	www.bluestemprairie.com	None	leftcenter	high
TVW Washington State	http://www.tvw.org/	www.tvw.org	None	center	high
Columbus Free Press	https://columbusfreepress.com	columbusfreepress.com	USA	left	mixed
Deep Left Field	http://deepleftfield.info/	deepleftfield.info	USA	extremeleft	mixed
Tharawat Magazine	http://www.tharawat-magazine.com/#gs.a9CcWpc	www.tharawat-magazine.com	None	rightcenter	high
KTLA	https://ktla.com/	ktla.com	USA	center	high
New York Daily News	https://www.nydailynews.com/	www.nydailynews.com	USA	leftcenter	mixed
Pravda Report	http://www.pravdareport.com/	www.pravdareport.com	None	left	mixed
Communities Digital News (CDN)	http://www.commdiginews.com/	www.commdiginews.com	USA	right	mixed
The Bureau of Investigative Journalism	https://www.thebureauinvestigates.com/	www.thebureauinvestigates.com	None	center	high
Hindustan Times	http://www.hindustantimes.com/	www.hindustantimes.com	None	leftcenter	high
Eagle Tribune	http://www.eagletribune.com/	www.eagletribune.com	None	center	high
Conservative Free Press	http://www.conservativefreepress.com	www.conservativefreepress.com	None	extremeright	low
Feminist Current	http://www.feministcurrent.com	www.feministcurrent.com	Canada	left	high
Great Falls Tribune	https://www.greatfallstribune.com	www.greatfallstribune.com	USA	center	high
Fraser Institute	https://www.fraserinstitute.org/	www.fraserinstitute.org	Canada	rightcenter	mixed
Pro Trump News	https://protrumpnews.com/	protrumpnews.com	Unknown	extremeright	low
Truth Revolt	http://www.truthrevolt.org/	www.truthrevolt.org	None	extremeright	questionable source
Finnish News	https://www.finnishnews.fi/	www.finnishnews.fi	Finland	left	mostly factual
Washington Daily Wire	http://www.washingtondailywire.com	www.washingtondailywire.com	USA	left	mixed
The Sumter Item	https://www.theitem.com/	www.theitem.com	USA	rightcenter	high
Infobae	https://www.infobae.com/	www.infobae.com	Argentina	leftcenter	high
WNYC	http://www.wnyc.org/	www.wnyc.org	None	leftcenter	high
Turning Point USA	https://www.tpusa.com/	www.tpusa.com	USA	right	low
Portland Press-Herald	http://www.pressherald.com/	www.pressherald.com	USA	leftcenter	high
US National News	http://usnationalnews.org	usnationalnews.org	Canada	extremeleft	questionable source
True Viral News	https://trueviralnews.com	trueviralnews.com	Russia	None	very low
Balkan Insight	https://balkaninsight.com/	balkaninsight.com	United Kingdom	leftcenter	high
South Florida Sun-Sentinel	http://www.sun-sentinel.com/	www.sun-sentinel.com	None	rightcenter	high
NewzJunky.com	http://www.newzjunky.com/	www.newzjunky.com	USA	center	mixed
If Americans Knew	http://ifamericaknew.org/	ifamericaknew.org	USA	leftcenter	high
Prideof-America.org (American News)	http://www.prideof-america.org/	www.prideof-america.org	None	extremeright	questionable source
MediaFile	http://www.mediafiledc.com	www.mediafiledc.com	None	leftcenter	high
Asian News International (ANI)	https://www.aninews.in	www.aninews.in	India	rightcenter	mixed
Proud Patriots	http://www.proud-patriots.com/	www.proud-patriots.com	None	extremeright	questionable source
India.com	https://www.india.com/	www.india.com	India	rightcenter	mostly factual
Alabama Political Reporter	https://www.alreporter.com/	www.alreporter.com	USA	center	high
Earth First Journal	http://earthfirstjournal.org/	earthfirstjournal.org	USA	left	mixed
The Smoking Gun	http://www.thesmokinggun.com/	www.thesmokinggun.com	None	rightcenter	high
Highline	http://highline.huffingtonpost.com	highline.huffingtonpost.com	None	leftcenter	high
Statesville Record & Landmark	https://www.statesville.com	www.statesville.com	USA	center	high
Guns.com	https://www.guns.com/	www.guns.com	USA	rightcenter	high
Pacific Pundit	https://www.pacificpundit.com	www.pacificpundit.com	USA	extremeright	questionable source
The Nevada Independent	https://thenevadaindependent.com	thenevadaindependent.com	USA	center	high
Freedom Alliance	https://freedomalliance.org	freedomalliance.org	USA	rightcenter	high
Cap News	http://cap-news.com/	cap-news.com	Unknown	None	very low
PR Newswire	http://prnewswire.mediaroom.com/	prnewswire.mediaroom.com	None	center	high
EU Observer	https://euobserver.com/	euobserver.com	None	leftcenter	high
Girls Just Wanna Have Guns	https://girlsjustwannahaveguns.com/	girlsjustwannahaveguns.com	None	extremeright	low
Fort Worth Weekly	https://www.fwweekly.com/	www.fwweekly.com	USA	leftcenter	high
The Baxter Bulletin	https://www.baxterbulletin.com	www.baxterbulletin.com	USA	center	high
The Local (Norway)	http://www.thelocal.no/	www.thelocal.no	None	leftcenter	high
PatriotRetort.com	http://patriotretort.com	patriotretort.com	USA	right	mixed
Jewish Breaking News	http://jewishbreakingnews.com	jewishbreakingnews.com	USA	rightcenter	mixed
LA Times (Los Angeles Times)	https://www.latimes.com/	www.latimes.com	USA	leftcenter	high
The Trump Media	http://thetrumpmedia.com/	thetrumpmedia.com	None	extremeright	questionable source
Think Progress	https://thinkprogress.org/	thinkprogress.org	USA	left	mixed
Joe for America	https://joeforamerica.com/	joeforamerica.com	USA	extremeright	low
RT News (RT.Com)	https://www.rt.com/news/	www.rt.com	Russia	rightcenter	very low
The News Tribune	http://www.thenewstribune.com/	www.thenewstribune.com	None	leftcenter	high
Imprimis (Hillsdale College)	https://imprimis.hillsdale.edu	imprimis.hillsdale.edu	USA	right	mixed
Conservative Daily Post	https://conservativedailypost.com/	conservativedailypost.com	Unknown	extremeright	low
LiveLeak	https://www.liveleak.com/	www.liveleak.com	None	leftcenter	high
Weasel Zippers	http://www.weaselzippers.us/	www.weaselzippers.us	USA	right	mixed
The State Press (Arizona)	https://www.statepress.com	www.statepress.com	USA	leftcenter	high
ThePoliticalBrief.com	https://thepoliticalbrief.com/	thepoliticalbrief.com	Unknown	extremeright	very low
Mother Nature Network	https://www.mnn.com	www.mnn.com	None	leftcenter	high
Vatican Radio	http://en.radiovaticana.va/	en.radiovaticana.va	Italy	right	questionable source
Asharq Al-Awsat	https://aawsat.com/english/	aawsat.com	United Kingdom	rightcenter	mixed
The Outlook (Monmouth University)	http://outlook.monmouth.edu/	outlook.monmouth.edu	None	center	high
The Waterloo-Cedar Falls Courier	http://wcfcourier.com	wcfcourier.com	USA	center	high
The Brunswick News	https://thebrunswicknews.com/	thebrunswicknews.com	USA	rightcenter	high
Pensacola News Journal	https://www.pnj.com	www.pnj.com	USA	center	high
US Journal Review	http://usjournalreview.com/	usjournalreview.com	None	extremeright	questionable source
Prospect Magazine	https://www.prospectmagazine.co.uk/	www.prospectmagazine.co.uk	United Kingdom	leftcenter	high
InsideSources	http://www.insidesources.com	www.insidesources.com	USA	rightcenter	high
TruthFeed	http://truthfeednews.com	truthfeednews.com	None	extremeright	questionable source
Tulsa World	http://www.tulsaworld.com/	www.tulsaworld.com	USA	rightcenter	high
KWTV-News9	https://www.news9.com/	www.news9.com	USA	center	high
Daily Stormer	https://dailystormer.name/	dailystormer.name	USA	extremeright	very low
Military Times	https://www.militarytimes.com	www.militarytimes.com	USA	center	high
This Magazine	https://this.org/	this.org	Canada	left	mostly factual
TomDispatch.com	http://www.tomdispatch.com/	www.tomdispatch.com	None	leftcenter	high
Governing Magazine	http://www.governing.com/	www.governing.com	None	leftcenter	high
American Renaissance Magazine	https://www.amren.com	www.amren.com	USA	extremeright	low
The Blue Route	http://theblueroute.org/	theblueroute.org	USA	left	mostly factual
Fox News	https://www.foxnews.com/	www.foxnews.com	USA	right	mixed
Americans for Truth (AFTAH)	https://americansfortruth.com	americansfortruth.com	USA	extremeright	very low
Political Dig	http://politicaldig.com/	politicaldig.com	USA	left	mixed
US News World Report	https://www.usnews.com/	www.usnews.com	USA	leftcenter	high
Montana Standard	http://mtstandard.com	mtstandard.com	USA	center	high
San Diego Union Tribune	https://www.sandiegouniontribune.com	www.sandiegouniontribune.com	USA	center	high
Know Your Meme	http://knowyourmeme.com/	knowyourmeme.com	None	center	high
GOP.gov (House Republicans)	https://www.gop.gov	www.gop.gov	USA	right	mixed
OneEighty	http://180report.com/	180report.com	None	center	mixed
African Arguments	https://africanarguments.org/	africanarguments.org	None	leftcenter	high
Buffalo News	https://www.buffalonews.com/	www.buffalonews.com	USA	leftcenter	high
USA Facts	http://www.usafacts.org/	www.usafacts.org	None	center	very high
USA Conservative Report	http://usaconservativereport.com	usaconservativereport.com	None	extremeright	questionable source
The Globe and Mail	http://www.theglobeandmail.com/	www.theglobeandmail.com	Canada	rightcenter	high
The New Revere	https://thenewrevere.com	thenewrevere.com	USA	right	mixed
NC Policy Watch	http://www.ncpolicywatch.com/	www.ncpolicywatch.com	None	leftcenter	high
World Tribune	ttps://www.worldtribune.com	www.worldtribune.com	USA	right	None
FactsCan	http://factscan.ca/	factscan.ca	None	center	very high
Renew America	http://www.renewamerica.com	www.renewamerica.com	USA	extremeright	low
Western Mass News	https://www.westernmassnews.com/	www.westernmassnews.com	USA	leftcenter	high
Maplight	http://maplight.org/	maplight.org	USA	leftcenter	high
Teen Vogue	https://www.teenvogue.com	www.teenvogue.com	USA	left	mostly factual
Franklin Center for Government and Public Integrity	http://franklincenterhq.org/	franklincenterhq.org	None	rightcenter	mixed
The Washington Feed	http://washingtonfeed.com/	washingtonfeed.com	None	extremeright	questionable source
The Red Elephants	http://theredelephants.com/	theredelephants.com	None	extremeright	questionable source
Care2	https://www.care2.com	www.care2.com	USA	left	mixed
Montreal Gazette	https://montrealgazette.com/	montrealgazette.com	Canada	rightcenter	high
